"Navigate","Open Maven POM","⇧⌥P","In Windows"
"PyDev - Editor","Python Collapse All","⌘9","PyDev editor scope"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Text Editing","Line End","⌃E","Editing Text"
"Android Refactorings","Extract Android String","⇧⌥A S","In Windows"
"Text Editing","Next Word","⌥F","Editing Text"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Uncategorized","Find all references","⇧⌘G","PyDev editor scope"
"Text Editing","Line Start","⌘←","Editing Text"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"PyDev - Editor","Python Uncomment","⌘\","PyDev editor scope"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Navigate","Open Resource","⌃X ⌃F","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Navigate","Next","⌘.","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Text Editing","Previous Word","⌥B","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Navigate","Last Edit Location","⇧⌃.","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Text Editing","Line Down","⌃N","Editing Text"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Server","Run","⌥⌘R","In Servers View"
"Text Editing","Scroll Line Down","⌃Z","Editing Text"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Refactor - JavaScript","Rename - Refactoring ","⌃R ⌃R","JavaScript View"
"File","New menu","⌥⌘N","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Window","Next Perspective","⌘F8","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Refactor - JavaScript","Extract Local Variable","⌃R ⌃V","JavaScript View"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Text Editing","Text End","Esc >","Editing Text"
"Edit","Delete","⌦","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
"Text Editing","Delete Next","⌃D","Editing Text"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Source","Organize Imports","⇧⌘O","In Windows"
"File","Properties","⌘I","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Window","Quick Access","⌘3","In Windows"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Text Editing","Next Column","⌃F","Editing Text"
"PyDev - Editor","Python Show Global Tokens (Editor)","⇧⌘T","PyDev editor scope"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Run/Debug","Step Return","F7","Debugging"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Text Editing","Text Start","Esc ⇧<","Editing Text"
"File","Rename","⌃R ⌃R","In Windows"
"Uncategorized","Copy","⌘C","In Git Reflog View"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
